#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
15015A;SARTROUVILLE PRINCIPAL BP;Bureau de Poste;;PLACE ALEXANDRE DUMAS;;;78500;SARTROUVILLE;78586;FRANCE;48.943878;2.189764;Géocodé au numéro;3631;48.943878, 2.189764
15016A;SEPTEUIL BP;Bureau de Poste;;1 RUE MAURICE CLERET;;;78790;SEPTEUIL;78591;FRANCE;48.892766;1.680097;Géocodé au numéro;3631;48.892766, 1.680097
15018A;TACOIGNIERES AP;Agence postale communale;14961A;1 RUE CLOS DE L ISLE;;;78910;TACOIGNIERES;78605;FRANCE;48.835799;1.674556;Géocodé au numéro;3631;48.835799, 1.674556
15022A;TRAPPES;Bureau de Poste;;2 RUE LEO LAGRANGE;;;78190;TRAPPES;78621;FRANCE;48.777194;1.98634;Géocodé au numéro;3631;48.777194, 1.98634
15025A;VELIZY VILLACOUBLAY LE MAIL;Bureau de Poste;;3 RUE PAULHAN;;;78140;VELIZY VILLACOUBLAY;78640;FRANCE;48.785095;2.181087;Géocodé au numéro;3631;48.785095, 2.181087
15026A;VERNEUIL SUR SEINE BP;Bureau de Poste;;PLACE GEORGES BRASSENS;;;78480;VERNEUIL SUR SEINE;78642;FRANCE;48.980193;1.974779;Géocodé au numéro;3631;48.980193, 1.974779
15049A;VERSAILLES GLATIGNY BP;Bureau de Poste;;2 ROND POINT DE LA CHAPELLE;;;78000;VERSAILLES;78646;FRANCE;48.821691;2.142499;Géocodé au numéro;3631;48.821691, 2.142499
15150A;NIORT ORANGERIE;Bureau de Poste;;4 RUE ERNEST PEROCHON;;;79000;NIORT;79191;FRANCE;46.321819;-0.460885;Géocodé au numéro;3631;46.321819, -0.460885
15172A;ST MARTIN DE SANZAY AP;Agence postale communale;15191A;18 PLACE JEAN LOUIS NOEL;;;79290;ST MARTIN DE SANZAY;79277;FRANCE;47.081097;-0.200217;Géocodé au numéro;3631;47.081097, -0.200217
15200A;USSEAU RP;Relais poste commerçant;15135A;4 ROUTE LA FORET;BAR TABAC RESTAURANT CHEZ DOMINIQUE;;79210;USSEAU;79334;FRANCE;46.17344;-0.578322;Géocodé au numéro;3631;46.17344, -0.578322
15208A;LIMALONGES RP;Relais poste commerçant;15143A;4 RUE DE LA CAILLAUDE;BAR TABAC;;79190;LIMALONGES;79150;FRANCE;46.129798;0.168207;Géocodé au centre de la commune;3631;46.129798, 0.168207
15211A;NIORT SAINT FLORENT BP;Bureau de Poste;;187 AVENUE SAINT JEAN D ANGELY;;;79000;NIORT;79191;FRANCE;46.311695;-0.465445;Géocodé au numéro;3631;46.311695, -0.465445
15212A;NIORT ANGELIQUE BP;Bureau de Poste;;BOULEVARD DE L ATLANTIQUE;;;79000;NIORT;79191;FRANCE;46.316599;-0.480106;Géocodé au numéro;3631;46.316599, -0.480106
15225A;ARREST AP;Agence postale communale;15356A;6 PLACE AUGUSTIN DELAHAYE;;;80820;ARREST;80029;FRANCE;50.127897;1.616319;Géocodé au milieu de la rue;3631;50.127897, 1.616319
15226A;ARVILLERS APC AP;Agence postale communale;15323A;1 PLACE DE L EGLISE;;;80910;ARVILLERS;80031;FRANCE;49.7457;2.647377;Géocodé au numéro;3631;49.7457, 2.647377
15236A;BEAUVAL BP;Bureau de Poste;;11 RUE CHARLES CAGNY;;;80630;BEAUVAL;80071;FRANCE;50.108013;2.333342;Géocodé au numéro;3631;50.108013, 2.333342
15237A;DAVENESCOURT AP;Agence postale communale;15323A;16 GRANDE RUE;;;80500;DAVENESCOURT;80236;FRANCE;49.710292;2.597585;Géocodé au milieu de la rue;3631;49.710292, 2.597585
15245A;BOVES BP;Bureau de Poste;;2 B RUE JOSEPH MANCEL;;;80440;BOVES;80131;FRANCE;49.843632;2.388012;Géocodé au numéro;3631;49.843632, 2.388012
15253A;CAYEUX SUR MER BP;Bureau de Poste;;6 RUE DU DOCTEUR BOURJOT;;;80410;CAYEUX SUR MER;80182;FRANCE;50.181859;1.492597;Géocodé au numéro;3631;50.181859, 1.492597
15270A;EQUANCOURT RP;Relais poste commerçant;15333A;33 GRANDE RUE;Bar de Mme Réjane Thomas;EQUANCOURT;80360;COMBLES;80275;FRANCE;50.035516;3.020209;Géocodé au numéro;3631;50.035516, 3.020209
15303A;LIGNIERES CHATELAIN AP;Agence postale communale;15336A;;2 PLACE DE LA MAIRIE;;80290;LIGNIERES CHATELAIN;80479;FRANCE;49.775197;1.864638;Géocodé au milieu de la rue;3631;49.775197, 1.864638
15347A;QUIRY LE SEC RP;Relais poste commerçant;15323A;9 RUE ETEVE;BOULANGERIE PATISSERIE BERTIN;QUIRY LE SEC;80250;AILLY SUR NOYE;80657;FRANCE;49.672794;2.380548;Géocodé au milieu de la rue;3631;49.672794, 2.380548
15416A;BRENS AP;Agence postale communale;15437A;5 PLACE DE LA MAIRIE;;;81600;BRENS;81038;FRANCE;43.889449;1.910365;Géocodé au milieu d un îlot;3631;43.889449, 1.910365
15418A;BURLATS RP;Relais poste commerçant;15429A;QUAI ADELAIDE;LE RELAIS DE BURLATS;;81100;BURLATS;81042;FRANCE;43.635796;2.31851;Géocodé au numéro;3631;43.635796, 2.31851
15426A;CARMAUX;Bureau de Poste;;20 PLACE JEAN JAURES;;;81400;CARMAUX;81060;FRANCE;44.050888;2.156162;Géocodé au numéro;3631;44.050888, 2.156162
15432A;CUQ TOULZA AP;Agence postale communale;15460A;10 AVENUE JEAN JAURES;;;81470;CUQ TOULZA;81076;FRANCE;43.568721;1.883935;Géocodé au numéro;3631;43.568721, 1.883935
15440A;GRAULHET;Bureau de Poste;;PLACE DU LANGUEDOC;;;81300;GRAULHET;81105;FRANCE;43.762794;1.9917;Géocodé au numéro;3631;43.762794, 1.9917
15446A;LACAUNE BP;Bureau de Poste;;29 RUE DE LA REPUBLIQUE;;;81230;LACAUNE;81124;FRANCE;43.70677;2.69307;Géocodé au numéro;3631;43.70677, 2.69307
15448A;LACROUZETTE AP;Agence postale communale;15429A;PLACE DU THERON;;;81210;LACROUZETTE;81128;FRANCE;43.662797;2.348116;Géocodé au milieu de la rue;3631;43.662797, 2.348116
15450A;LAGRAVE AP;Agence postale communale;15516A;PLACE DE L EGLISE;;;81150;LAGRAVE;81131;FRANCE;43.897092;1.992997;Géocodé au centre de la commune;3631;43.897092, 1.992997
15454A;LEMPAUT AP;Agence postale communale;15460A;LE VILLAGE;;;81700;LEMPAUT;81142;FRANCE;43.527897;2.065403;Géocodé au centre de la commune;3631;43.527897, 2.065403
15469A;NOAILHAC AP;Agence postale communale;15429A;AVENUE CHARLES TAILHADES;;;81490;NOAILHAC;81196;FRANCE;43.5736;2.353687;Géocodé au milieu de la rue;3631;43.5736, 2.353687
15470A;PAMPELONNE AP;Agence postale communale;15426A;31 AVENUE DU VIAUR;;;81190;PAMPELONNE;81201;FRANCE;44.123898;2.245349;Géocodé au milieu de la rue;3631;44.123898, 2.245349
15478A;REALMONT BP;Bureau de Poste;;32 BOULEVARD GAMBETTA;;;81120;REALMONT;81222;FRANCE;43.775493;2.187471;Géocodé au numéro;3631;43.775493, 2.187471
15486A;SAINT SULPICE BP;Bureau de Poste;;PLACE SOULT;;;81370;ST SULPICE;81271;FRANCE;43.773737;1.687125;Géocodé au numéro;3631;43.773737, 1.687125
15487A;SAIX BP;Bureau de Poste;;PLACE DU RIVET;;;81710;SAIX;81273;FRANCE;43.585197;2.179909;Géocodé au numéro;3631;43.585197, 2.179909
15499A;VALENCE D ALBIGEOIS BP;Bureau de Poste;;RUE DE LA POSTE;;;81340;VALENCE D ALBIGEOIS;81308;FRANCE;44.018751;2.403026;Géocodé au numéro;3631;44.018751, 2.403026
15518A;CASTRES L ALBINQUE;Bureau de Poste;;21 BOULEVARD DES DOCTEURS SICARD;;;81100;CASTRES;81065;FRANCE;43.6079;2.240456;Géocodé au numéro;3631;43.6079, 2.240456
15523A;ALBEFEUILLE LAGARDE AP;Agence postale communale;15539A;VILLAGE;;;82290;ALBEFEUILLE LAGARDE;82001;FRANCE;44.064391;1.28063;Géocodé au centre de la commune;3631;44.064391, 1.28063
15528A;BEAUMONT DE LOMAGNE;Bureau de Poste;;37 RUE DESPEYROUX;;;82500;BEAUMONT DE LOMAGNE;82013;FRANCE;43.881552;0.989281;Géocodé au numéro;3631;43.881552, 0.989281
15531A;BOURG DE VISA BP;Bureau de Poste;;ROUTE DE MOISSAC;;;82190;BOURG DE VISA;82022;FRANCE;44.261045;0.95937;Géocodé au numéro;3631;44.261045, 0.95937
15533A;BRESSOLS BP;Bureau de Poste;;VILLAGE BRESSOLS;;;82710;BRESSOLS;82025;FRANCE;43.968191;1.338491;Géocodé au numéro;3631;43.968191, 1.338491
15538A;CASTELSAGRAT AP;Agence postale communale;15610A;;;;82400;CASTELSAGRAT;82032;FRANCE;44.183692;0.946321;Géocodé au milieu de la rue;3631;44.183692, 0.946321
15542A;CAYLUS BP;Bureau de Poste;;AVENUE DU PERE EVARISTE HUC;;;82160;CAYLUS;82038;FRANCE;44.236471;1.772512;Géocodé au numéro;3631;44.236471, 1.772512
15545A;CORBARIEU AP;Agence postale communale;15558A;RUE DE L EGLISE;;;82370;CORBARIEU;82044;FRANCE;43.944529;1.368548;Géocodé au numéro;3631;43.944529, 1.368548
15546A;DIEUPENTALE AP;Agence postale communale;15558A;RUE PRINCIPALE;A COTE DE LA MAIRIE;PLACE AUGUSTE PUIS;82170;DIEUPENTALE;82048;FRANCE;43.862793;1.268521;Géocodé au centre de la commune;3631;43.862793, 1.268521
15550A;ESCATALENS AP;Agence postale communale;15528A;3 PLACE DE LA MAIRIE;;;82700;ESCATALENS;82052;FRANCE;43.98406;1.189852;Géocodé au numéro;3631;43.98406, 1.189852
15553A;GARGANVILLAR AP;Agence postale communale;15539A;3 RUE DE LA MAIRIE;;;82100;GARGANVILLAR;82063;FRANCE;43.977996;1.06952;Géocodé au centre de la commune;3631;43.977996, 1.06952
15555A;GRAMONT AP;Agence postale communale;15528A;VILLAGE;;;82120;GRAMONT;82074;FRANCE;43.936395;0.767787;Géocodé au centre de la commune;3631;43.936395, 0.767787
15559A;LABOURGADE AP;Agence postale communale;15539A;7 RUE DE LA TUILERIE;;;82100;LABOURGADE;82081;FRANCE;43.949794;1.101139;Géocodé au centre de la commune;3631;43.949794, 1.101139
15560A;LAFITTE RP;Relais poste commerçant;15539A;LE BOURG;EPICERIE LOU PITCHOU MARCAT;;82100;LAFITTE;82086;FRANCE;43.971096;1.119661;Géocodé au numéro;3631;43.971096, 1.119661
15561A;LAFRANCAISE BP;Bureau de Poste;;RUE MARY LAFON;;;82130;LAFRANCAISE;82087;FRANCE;44.128313;1.241297;Géocodé au numéro;3631;44.128313, 1.241297
15563A;LAMAGISTERE BP;Bureau de Poste;;ALLEE LOUIS BOURGEAT;;;82360;LAMAGISTERE;82089;FRANCE;44.123996;0.825156;Géocodé au milieu de la rue;3631;44.123996, 0.825156
15573A;MAS GRENIER AP;Agence postale communale;15558A;;AU BOURG;;82600;MAS GRENIER;82105;FRANCE;43.891298;1.195717;Géocodé au milieu de la rue;3631;43.891298, 1.195717
15576A;MIRAMONT DE QUERCY AP;Agence postale communale;15610A;;;;82190;MIRAMONT DE QUERCY;82111;FRANCE;44.230594;1.065451;Géocodé au centre de la commune;3631;44.230594, 1.065451
15592A;POMPIGNAN AP;Agence postale communale;15558A;1RUE BERNARD PEYRILLE;;;82170;POMPIGNAN;82142;FRANCE;43.816499;1.31302;Géocodé au centre de la commune;3631;43.816499, 1.31302
15593A;PUYLAGARDE AP;Agence postale communale;15541A;VILLAGE;;;82160;PUYLAGARDE;82147;FRANCE;44.296097;1.838937;Géocodé au centre de la commune;3631;44.296097, 1.838937
15595A;REALVILLE AP;Agence postale communale;15541A;PLACE DES ARCADES;;;82440;REALVILLE;82149;FRANCE;44.113897;1.479099;Géocodé au milieu de la rue;3631;44.113897, 1.479099
15599A;SAINT ANTONIN NOBLE VAL BP;Bureau de Poste;;18 BOULEVARD DES THERMES;;;82140;ST ANTONIN NOBLE VAL;82155;FRANCE;44.150917;1.754197;Géocodé au numéro;3631;44.150917, 1.754197
15606A;SEPTFONDS BP;Bureau de Poste;;21 COURS ALSACE;;;82240;SEPTFONDS;82179;FRANCE;44.177593;1.616772;Géocodé au milieu de la rue;3631;44.177593, 1.616772
15609A;VALEILLES AP;Agence postale communale;15610A;VILLAGE VALEILLES;;;82150;VALEILLES;82185;FRANCE;44.363392;0.922003;Géocodé au centre de la commune;3631;44.363392, 0.922003
15612A;VAZERAC BP;Bureau de Poste;;6 RUE DU TUCOL;;;82220;VAZERAC;82189;FRANCE;44.189945;1.285981;Géocodé au numéro;3631;44.189945, 1.285981
15613A;VERDUN SUR GARONNE BP;Bureau de Poste;;PLACE DE L EPERON;;;82600;VERDUN SUR GARONNE;82190;FRANCE;43.852937;1.235013;Géocodé au numéro;3631;43.852937, 1.235013
15618A;MONTAUBAN SAPIAC BP;Bureau de Poste;;RUE DE L ABBAYE;LOT 11 - CENTRE COMMERCIAL SAPIAC;;82000;MONTAUBAN;82121;FRANCE;44.004692;1.353967;Géocodé au numéro;3631;44.004692, 1.353967
15633A;BARGEMON BP;Bureau de Poste;;PLACE SAINT ETIENNE;;;83830;BARGEMON;83011;FRANCE;43.619869;6.552123;Géocodé au numéro;3631;43.619869, 6.552123
15637A;BAUDUEN BP;Bureau de Poste;;RUE JUTERIE;;;83630;BAUDUEN;83015;FRANCE;43.734099;6.175072;Géocodé au milieu de la rue;3631;43.734099, 6.175072
15639A;BELGENTIER BP;Bureau de Poste;;2 AVENUE DE CUERS;;;83210;BELGENTIER;83017;FRANCE;43.244524;6.000593;Géocodé au numéro;3631;43.244524, 6.000593
15641A;BORMES LES MIMOSAS BP;Bureau de Poste;;RUE GABRIEL PERI;SQUARE NORBERT SEGARD;;83230;BORMES LES MIMOSAS;83019;FRANCE;43.149878;6.34273;Géocodé au numéro;3631;43.149878, 6.34273
15643A;BRAS BP;Bureau de Poste;;ROUTE DE BRIGNOLES;SQUARE JALABERT;;83149;BRAS;83021;FRANCE;43.470587;5.957754;Géocodé au numéro;3631;43.470587, 5.957754
15647A;CABASSE BP;Bureau de Poste;;PLACE ARISTIDE BRIAND;;;83340;CABASSE;83026;FRANCE;43.425709;6.221692;Géocodé au numéro;3631;43.425709, 6.221692
15648A;LA CADIERE D AZUR BP;Bureau de Poste;;10 AVENUE GABRIEL PERI;;;83740;LA CADIERE D AZUR;83027;FRANCE;43.19656;5.757193;Géocodé au numéro;3631;43.19656, 5.757193
15649A;CALLAS BP;Bureau de Poste;;PLACE GEORGES CLEMENCEAU;;;83830;CALLAS;83028;FRANCE;43.594612;6.538753;Géocodé au numéro;3631;43.594612, 6.538753
15653A;CARCES BP;Bureau de Poste;;5 BOULEVARD FOURNERY;;;83570;CARCES;83032;FRANCE;43.476062;6.184499;Géocodé au numéro;3631;43.476062, 6.184499
15654A;CARNOULES BP;Bureau de Poste;;12 IMPASSE DU GRANOUILLET;;;83660;CARNOULES;83033;FRANCE;43.3027;6.189452;Géocodé au centre de la commune;3631;43.3027, 6.189452
15655A;CARQUEIRANNE BP;Bureau de Poste;;PLACE DE LA REPUBLIQUE;;;83320;CARQUEIRANNE;83034;FRANCE;43.095186;6.075243;Géocodé au numéro;3631;43.095186, 6.075243
15665A;LA CRAU BP;Bureau de Poste;;PLACE FELIX REYNAUD;;;83260;LA CRAU;83047;FRANCE;43.148793;6.073138;Géocodé au numéro;3631;43.148793, 6.073138
15677A;FORCALQUEIRET BP;Bureau de Poste;;8 PLACE DE LA REPUBLIQUE;;;83136;FORCALQUEIRET;83059;FRANCE;43.336321;6.081366;Géocodé au numéro;3631;43.336321, 6.081366
15678A;FOX AMPHOUX AP;Agence postale communale;15720A;QUARTIER LA BREGUIERE;;;83670;FOX AMPHOUX;83060;FRANCE;43.586592;6.101568;Géocodé au centre de la commune;3631;43.586592, 6.101568
15688A;LE LAVANDOU;Bureau de Poste;;12 AVENUE DU GENERAL DE GAULLE;;;83980;LE LAVANDOU;83070;FRANCE;43.137995;6.368166;Géocodé au numéro;3631;43.137995, 6.368166
15700A;MONTFORT SUR ARGENS BP;Bureau de Poste;;20 RUE GRANDE;;;83570;MONTFORT SUR ARGENS;83083;FRANCE;43.473692;6.12154;Géocodé au centre de la commune;3631;43.473692, 6.12154
15704A;NANS LES PINS BP;Bureau de Poste;;AVENUE JULIEN JOURDAN;;;83860;NANS LES PINS;83087;FRANCE;43.371552;5.784997;Géocodé au numéro;3631;43.371552, 5.784997
15709A;FREJUS TOUR DE MARE BP;Bureau de Poste;;QUARTIER TOUR DE MARE;MAISON DE QUARTIER;;83600;FREJUS;83061;FRANCE;43.450292;6.754041;Géocodé au milieu d un îlot;3631;43.450292, 6.754041
15717A;RAMATUELLE BP;Bureau de Poste;;PLACE GENERAL DE GAULLE;;;83350;RAMATUELLE;83101;FRANCE;43.215326;6.612472;Géocodé au numéro;3631;43.215326, 6.612472
15721A;ROCBARON BP;Bureau de Poste;;2 RUE DU CAFE;;;83136;ROCBARON;83106;FRANCE;43.306193;6.083957;Géocodé au centre de la commune;3631;43.306193, 6.083957
15728A;SAINTE MAXIME BP;Bureau de Poste;;39 AVENUE GEORGES CLEMENCEAU;IMMEUBLE CASA DEL MAR;;83120;STE MAXIME;83115;FRANCE;43.3097;6.639188;Géocodé au numéro;3631;43.3097, 6.639188
15732A;SAINT TROPEZ BP;Bureau de Poste;;PLACE ALPHONSE CELLI;;;83990;ST TROPEZ;83119;FRANCE;43.271011;6.63678;Géocodé au numéro;3631;43.271011, 6.63678
15733A;SAINT ZACHARIE BP;Bureau de Poste;;PLACE DE LA VICTOIRE;;;83640;ST ZACHARIE;83120;FRANCE;43.383898;5.705246;Géocodé au milieu de la rue;3631;43.383898, 5.705246
15742A;SIX FOURS LES PLAGES;Bureau de Poste;;AVENUE DU 8 MAI 1945;LA CANTARELLE;;83140;SIX FOURS LES PLAGES;83129;FRANCE;43.095094;5.838499;Géocodé au numéro;3631;43.095094, 5.838499
15744A;SOLLIES TOUCAS BP;Bureau de Poste;;AVENUE DE LATTRE DE TASSIGNY;;;83210;SOLLIES TOUCAS;83131;FRANCE;43.206502;6.027656;Géocodé au numéro;3631;43.206502, 6.027656
15752A;TRANS EN PROVENCE BP;Bureau de Poste;;25 AVENUE DE LA GARE;;;83720;TRANS EN PROVENCE;83141;FRANCE;43.503453;6.485367;Géocodé au numéro;3631;43.503453, 6.485367
15760A;VINON SUR VERDON BP;Bureau de Poste;;6 RUE GRANDE;;;83560;VINON SUR VERDON;83150;FRANCE;43.724293;5.811656;Géocodé au numéro;3631;43.724293, 5.811656
15765A;LA SEYNE LA NAVALE;Bureau de Poste;;9 AVENUE GARIBALDI;;;83500;LA SEYNE SUR MER;83126;FRANCE;43.099193;5.883431;Géocodé au numéro;3631;43.099193, 5.883431
15767A;TOULON CLARET BP;Bureau de Poste;;342 AVENUE DE CLARET;;;83000;TOULON;83137;FRANCE;43.131894;5.924508;Géocodé au numéro;3631;43.131894, 5.924508
15771A;TOULON STE MUSSE BP;Bureau de Poste;;BOULEVARD DES ARMARIS;;;83100;TOULON;83137;FRANCE;43.121995;5.981227;Géocodé au numéro;3631;43.121995, 5.981227
15777A;LA GARDE STE MARGUERITE AP;Agence postale communale;15680A;19 IMPASSE DE LA MAIRIE ANNEXE;BD PIERRE LOTI;SAINTE  MARGUERITE;83130;LA GARDE;83062;FRANCE;43.111797;5.989666;Géocodé au numéro;3631;43.111797, 5.989666
15782A;PLAN D AUPS SAINTE BAUME AP;Agence postale communale;15729A;37 RUE DU PIC DE BERTAGNE;;;83640;PLAN D AUPS STE BAUME;83120;FRANCE;43.328296;5.709804;Géocodé au centre de la commune;3631;43.328296, 5.709804
15783A;AGAY BP;Bureau de Poste;;569 BOULEVARD DE LA PLAGE;;;83530;AGAY;83118;FRANCE;43.434632;6.863319;Géocodé au numéro;3631;43.434632, 6.863319
15784A;LE BRUSC BP;Bureau de Poste;;107 RUE MARIUS BONDIL;ESPACE JULES DE GRELING;;83140;SIX FOURS LES PLAGES;83129;FRANCE;43.074596;5.802918;Géocodé au numéro;3631;43.074596, 5.802918
15787A;PORQUEROLLES BP;Bureau de Poste;;PLACE D ARMES;;PORQUEROLLES;83400;HYERES;83069;FRANCE;43.000483;6.20406;Géocodé au numéro;3631;43.000483, 6.20406
15791A;TOULON PONT DU LAS;Bureau de Poste;;627 AVENUE DU 15E CORPS;IMMEUBLE LE PRADO;;83000;TOULON;83137;FRANCE;43.12844;5.913733;Géocodé au numéro;3631;43.12844, 5.913733
00527A;SAINT REMY EN ROLLAT BP;Bureau de Poste;;RUE DE LA POSTE;;;03110;ST REMY EN ROLLAT;03258;FRANCE;46.184893;3.390618;Géocodé au numéro;3631;46.184893, 3.390618
00534A;TARGET AP;Agence postale communale;00526A;LE BOURG;;;03140;TARGET;03277;FRANCE;46.290487;3.061061;Géocodé au numéro;3631;46.290487, 3.061061
00535A;TEILLET ARGENTY AP;Agence postale communale;00445A;23 GRANDE RUE;;;03410;TEILLET ARGENTY;03279;FRANCE;46.269695;2.531937;Géocodé au numéro;3631;46.269695, 2.531937
00540A;TREBAN BP;Bureau de Poste;;LE BOURG;;;03240;TREBAN;03287;FRANCE;46.404604;3.173954;Géocodé au numéro;3631;46.404604, 3.173954
00541A;TREIGNAT AP;Agence postale communale;00445A;8 AVENUE DE LA GARE;;;03380;TREIGNAT;03288;FRANCE;46.347747;2.339964;Géocodé au numéro;3631;46.347747, 2.339964
00548A;VALLON EN SULLY BP;Bureau de Poste;;RUE PAUL CONSTANS;;;03190;VALLON EN SULLY;03297;FRANCE;46.536702;2.608566;Géocodé au numéro;3631;46.536702, 2.608566
00573A;MONTLUCON BIEN ASSIS BP;Bureau de Poste;;1 PLACE DANIELLE CASANOVA;;;03100;MONTLUCON;03185;FRANCE;46.342087;2.574987;Géocodé au numéro;3631;46.342087, 2.574987
00575A;MONTLUCON FONTBOUILLANT BP;Bureau de Poste;;AVENUE DE FONTBOUILLANT;;;03100;MONTLUCON;03185;FRANCE;46.328972;2.580723;Géocodé au numéro;3631;46.328972, 2.580723
00579A;MOULINS LA MADELEINE AP;Agence postale communale;00497A;15 AVENUE DE LA LIBERATION;;;03000;MOULINS;03190;FRANCE;46.560326;3.318772;Géocodé au numéro;3631;46.560326, 3.318772
00582A;ALLOS BP;Bureau de Poste;;LE PRE DE FOIRE;;;04260;ALLOS;04006;FRANCE;44.241021;6.628911;Géocodé au numéro;3631;44.241021, 6.628911
00583A;ANNOT BP;Bureau de Poste;;BOULEVARD SAINT PIERRE;;;04240;ANNOT;04008;FRANCE;43.966606;6.666301;Géocodé au numéro;3631;43.966606, 6.666301
00591A;BRAS D ASSE BP;Bureau de Poste;;LA BEGUDE;;;04270;BRAS D ASSE;04031;FRANCE;43.920738;6.134457;Géocodé au numéro;3631;43.920738, 6.134457
00592A;LA BREOLE AP;Agence postale communale;00700A;PLACE DE LA MAIRIE;;LE VILLAGE;04340;LA BREOLE;04033;FRANCE;44.457386;6.294322;Géocodé au numéro;3631;44.457386, 6.294322
00595A;CASTELLANE BP;Bureau de Poste;;PLACE MARCEL SAUVAIRE;;;04120;CASTELLANE;04039;FRANCE;43.846244;6.513839;Géocodé au numéro;3631;43.846244, 6.513839
00598A;CHAMPTERCIER AP;Agence postale communale;00606A;;LE VILLAGE;;04660;CHAMPTERCIER;04047;FRANCE;44.094376;6.161725;Géocodé au numéro;3631;44.094376, 6.161725
00599A;CHATEAU ARNOUX BP;Bureau de Poste;;CHEMIN DU LAC;;;04160;CHATEAU ARNOUX ST AUBAN;04049;FRANCE;44.093343;6.010165;Géocodé au numéro;3631;44.093343, 6.010165
00610A;ESPARRON DE VERDON AP;Agence postale communale;00622A;;;;04800;ESPARRON DE VERDON;04081;FRANCE;43.738926;5.973883;Géocodé au numéro;3631;43.738926, 5.973883
00618A;LURS AP;Agence postale communale;00612A;RUE DE LA MAIRIE;;;04700;LURS;04106;FRANCE;43.969294;5.889748;Géocodé au centre de la commune;3631;43.969294, 5.889748
00619A;MALIJAI BP;Bureau de Poste;;13 PLACE DE LA REPUBLIQUE;;;04350;MALIJAI;04108;FRANCE;44.044733;6.030573;Géocodé au numéro;3631;44.044733, 6.030573
00624A;MEZEL BP;Bureau de Poste;;LE CLANS;;;04270;MEZEL;04121;FRANCE;43.996594;6.196158;Géocodé au numéro;3631;43.996594, 6.196158
00626A;MONTAGNAC MONTPEZAT AP;Agence postale communale;00622A;PLACE DE L HORLOGE;;;04500;MONTAGNAC MONTPEZAT;04124;FRANCE;43.779826;6.095174;Géocodé au numéro;3631;43.779826, 6.095174
00629A;LA MOTTE DU CAIRE BP;Bureau de Poste;;TRAVERSE PIED DE VILLE;;;04250;LA MOTTE DU CAIRE;04134;FRANCE;44.343192;6.028152;Géocodé au numéro;3631;44.343192, 6.028152
00630A;MOUSTIERS SAINTE MARIE BP;Bureau de Poste;;RUE DU SEIGNEUR DE LA CLUE;CENTRE ADMINISTRATIF;;04360;MOUSTIERS STE MARIE;04135;FRANCE;43.845371;6.221409;Géocodé au numéro;3631;43.845371, 6.221409
00654A;ST VINCENT LES FORTS AP;Agence postale communale;00700A;;;LE LAUTHARET;04340;ST VINCENT LES FORTS;04198;FRANCE;44.442004;6.352969;Géocodé au numéro;3631;44.442004, 6.352969
00661A;THORAME BASSE AP;Agence postale communale;00647A;C D N 2;;;04170;THORAME BASSE;04218;FRANCE;44.090787;6.500909;Géocodé au numéro;3631;44.090787, 6.500909
00669A;VILLENEUVE BP;Bureau de Poste;;130 CHEMIN NEUF;;;04180;VILLENEUVE;04242;FRANCE;43.893222;5.860812;Géocodé au numéro;3631;43.893222, 5.860812
00677A;AIGUILLES AP;Agence postale communale;00753A;;AU BOURG;;05470;AIGUILLES;05003;FRANCE;44.782428;6.870137;Géocodé au numéro;3631;44.782428, 6.870137
00679A;L ARGENTIERE LA BESSEE BP;Bureau de Poste;;13 RUE DE LA REPUBLIQUE;;;05120;L ARGENTIERE LA BESSEE;05006;FRANCE;44.794925;6.561314;Géocodé au numéro;3631;44.794925, 6.561314
00680A;ARVIEUX AP;Agence postale communale;00753A;;LA VILLE;;05350;ARVIEUX;05007;FRANCE;44.767284;6.73867;Géocodé au numéro;3631;44.767284, 6.73867
00682A;BARATIER AP;Agence postale communale;00695A;;;;05200;BARATIER;05012;FRANCE;44.538862;6.495553;Géocodé au numéro;3631;44.538862, 6.495553
00685A;VILLARD SAINT PANCRACE AP;Agence postale communale;00753A;MAIRIE;;;05100;VILLARD ST PANCRACE;05023;FRANCE;44.874576;6.628401;Géocodé au numéro;3631;44.874576, 6.628401
00691A;CHATEAU VILLE VIEILLE BP;Bureau de Poste;;QUARTIER LA RIBE;;CHATEAU QUEYRAS;05350;CHATEAU VILLE VIEILLE;05038;FRANCE;44.766395;6.805158;Géocodé au centre de la commune;3631;44.766395, 6.805158
00693A;CHORGES BP;Bureau de Poste;;RUE DES ECOLES;;;05230;CHORGES;05040;FRANCE;44.54492;6.278812;Géocodé au numéro;3631;44.54492, 6.278812
00704A;LARAGNE MONTEGLIN;Bureau de Poste;;AVENUE DE LA GARE;;;05300;LARAGNE MONTEGLIN;05070;FRANCE;44.316084;5.820461;Géocodé au numéro;3631;44.316084, 5.820461
00711A;LA MOTTE EN CHAMPSAUR AP;Agence postale communale;00695A;LE VILLAGE;;;05500;LA MOTTE EN CHAMPSAUR;05090;FRANCE;44.731853;6.066698;Géocodé au numéro;3631;44.731853, 6.066698
