#Identifiant_du_site;Libellé_du_site;Caractéristique_du_site;Site_Acores_de_rattachement;Adresse;Complément_d_adresse;Lieu_dit;Code_postal;Localité;Code_INSEE;Pays;Latitude;Longitude;Précision_du_géocodage;Numéro_de_téléphone;latlong
09109A;ST MARTIN DE LA PLACE RP;Relais poste commerçant;08922A;24 RUE DU PETIT THOUARS;TABAC PRESSE - MME CREPIN ELODIE;;49160;ST MARTIN DE LA PLACE;49304;FRANCE;47.31454;-0.147972;Géocodé au numéro;3631;47.31454, -0.147972
09112A;SAINT MATHURIN SUR LOIRE BP;Bureau de Poste;;14 LEVEE DU ROI RENE;;;49250;ST MATHURIN SUR LOIRE;49307;FRANCE;47.409612;-0.321427;Géocodé au numéro;3631;47.409612, -0.321427
09115A;SAINT PIERRE MONTLIMART BP;Bureau de Poste;;13 AVENUE DU PARC;;;49110;ST PIERRE MONTLIMART;49313;FRANCE;47.269825;-1.025934;Géocodé au numéro;3631;47.269825, -1.025934
09116A;SAINT QUENTIN EN MAUGES AP;Agence postale communale;08924A;3 RUE DU DOCTEUR BESSON;;;49110;ST QUENTIN EN MAUGES;49314;FRANCE;47.290992;-0.91853;Géocodé au numéro;3631;47.290992, -0.91853
09118A;LA SALLE ET CHAPELLE AUBRY AP;Agence postale communale;08924A;PLACE SAINT HILAIRE;MAIRIE;;49110;LA SALLE ET CHAPELLE AUBRY;49324;FRANCE;47.254892;-0.985362;Géocodé au centre de la commune;3631;47.254892, -0.985362
09186A;BARFLEUR BP;Bureau de Poste;;1 PLACE DE GAULLE;;;50760;BARFLEUR;50030;FRANCE;49.668553;-1.264456;Géocodé au numéro;3631;49.668553, -1.264456
09199A;BRECEY BP;Bureau de Poste;;RUE PAUL LEMONNIER;;;50370;BRECEY;50074;FRANCE;48.724348;-1.169483;Géocodé au numéro;3631;48.724348, -1.169483
09212A;CHERBOURG PRINCIPAL;Bureau de Poste;;PLACE DIVETTE;;;50100;CHERBOURG OCTEVILLE;50129;FRANCE;49.636591;-1.624501;Géocodé au numéro;3631;49.636591, -1.624501
09214A;COULOUVRAY BOISBENATRE AP;Agence postale communale;09183A;PLACE DE L EGLISE;;;50670;COULOUVRAY BOISBENATRE;50144;FRANCE;48.787397;-1.109561;Géocodé au centre de la commune;3631;48.787397, -1.109561
09219A;LE DEZERT AP;Agence postale communale;09289A;LE BOURG;;;50620;LE DEZERT;50161;FRANCE;49.204293;-1.16487;Géocodé au centre de la commune;3631;49.204293, -1.16487
09225A;FERMANVILLE AP;Agence postale communale;09312A;5 LA HEUGUE;MAIRIE;;50840;FERMANVILLE;50178;FRANCE;49.684596;-1.454481;Géocodé au centre de la commune;3631;49.684596, -1.454481
09226A;FLAMANVILLE BP;Bureau de Poste;;41 RUE DU CHATEAU;;;50340;FLAMANVILLE;50184;FRANCE;49.533083;-1.866196;Géocodé au numéro;3631;49.533083, -1.866196
09230A;GER BP;Bureau de Poste;;PLACE DE LA MAIRIE;;;50850;GER;50200;FRANCE;48.681707;-0.789452;Géocodé au numéro;3631;48.681707, -0.789452
